index,Serial Number,County,License Type Code,License Class Code,Certificate Number,Premise Name,DBA,Premise Address,Premise Address 2,Premise City,Premise State,Premise Zip,License Issued Date,License Expiration Date,Method of Operation,Days/Hours of Operation,Other,Georeference,full_address,lat,lng
15952,1110507,NEW YORK,A,122,908615,695 LEON BAKERY INC,,695 9TH AVE ,,NEW YORK,NY,10036,09/18/2018,09/30/2021,GROCERY STORE SELLING BEER AND CIDER,,,POINT(-73.990222 40.762179),"695 9TH AVE , NEW YORK, NY 10036",40.762179,-73.990222
15953,1196012,NEW YORK,OP,252,914468,RACHEL ON NINTH CORP,PATRON,608 9TH AVE,43RD &44TH STREETS,NEW YORK,NY,10036,01/22/2020,01/31/2022,RESTAURANT SERVING BEER CIDER WINE AND LIQUOR,,,POINT(-73.991727 40.759221),"608 9TH AVE, NEW YORK, NY 10036",40.759221,-73.991727
15954,1305477,NEW YORK,TW,344,925124,KONNECTGOLF LLC,KONNECTGOLF ,590 5TH AVE,2ND FL,NEW YORK,NY,10036,03/06/2020,02/28/2022,"BAR/TAVERN SERVING WINE, BEER AND CIDER",,Recorded Music,POINT(-73.978623 40.757188),"590 5TH AVE, NEW YORK, NY 10036",40.757188,-73.978623
15957,1300393,NEW YORK,OP,252,906659,VINTAGE 33 INC,TURNTABLE CHICKEN JAZZ,20 W 33RD ST ,,NEW YORK,NY,10001,06/04/2019,06/30/2021,RESTAURANT SERVING LIQUOR WINE BEER AND CIDER,,Recorded Music.  No outdoor areas,POINT(-73.986569 40.748164),"20 W 33RD ST , NEW YORK, NY 10001",40.748164,-73.986569
15959,1290369,NEW YORK,OP,252,912791,AMERICA OOTOYA INC,TEMPURA MATSUI,222 E 39TH ST,,NEW YORK,NY,10016,11/15/2019,11/30/2021,RESTAURANT SERVING BEER CIDER WINE AND LIQUOR,CB6 Stips: 11:30 am to 11:30 pm all days,"Recorded Music Permitted, No Dancing",POINT(-73.974811 40.748171),"222 E 39TH ST, NEW YORK, NY 10016",40.748171,-73.974811
15964,1163734,NEW YORK,DX,126,901779,RITE AID OF NEW YORK INC,RITE AID PHARMACY #7767,1951 1ST AVENUE,,NEW YORK,NY,10029,06/12/2018,07/31/2021,DRUG STORE SELLING BEER CIDER AND WINE PRODUCTS,,,POINT(-73.943183 40.786347),"1951 1ST AVENUE, NEW YORK, NY 10029",40.786347,-73.943183
15965,1307919,NEW YORK,OP,252,915902,FRANCISCO & FRANCISCO INC,POP AND POUR,200 DYCKMAN ST,STORE #8,NEW YORK,NY,10040,03/02/2020,02/28/2022,"BAR/TAVERN SERVING LIQUOR, WINE, BEER & CIDER.","CB12M STIP: INSTALL SOUND LIMITER TO ANY SOUND EQPT. POST SIGN, IN ENGLISH & SPANISH, FOR PATRONS TO",CB STIP: REFRAIN FROM MAKING EXCESSIVE NOISE. RECORDED MUSIC. NO DANCING.,POINT(-73.927167 40.864884),"200 DYCKMAN ST, NEW YORK, NY 10040",40.864884,-73.927167
15966,1221671,NEW YORK,OP,252,912589,AMITY STREET INC,AMITY HALL,80 W 3RD ST,SULLIVAN ST & THOMPSON ST,NEW YORK,NY,10012,11/07/2019,11/30/2021,TAVERN SERVING LIQUOR WINE CIDER & BEER,,Recorded/DJ Music; DJ only on Fri &Sat 10pm-12pm Doors to be closed during hours of DJ playing,POINT(-73.998922 40.729634),"80 W 3RD ST, NEW YORK, NY 10012",40.729634,-73.998922
15967,1303326,NEW YORK,OP,252,908099,VOTE FOR PEDRO LLC,VOTE FOR PEDRO,231 E 53RD ST,1ST FLOOR,NEW YORK,NY,10022,07/23/2019,08/31/2021,"RESTAURANT SERVING LIQUOR, WINE, BEER AND CIDER",,Recorded Music Permitted and No Dancing,POINT(-73.968011 40.757343),"231 E 53RD ST, NEW YORK, NY 10022",40.757343,-73.968011
15968,1317810,NEW YORK,RW,341,830942,ANTALIANYC INC,ANTALIA,17 W 45TH ST,,NEW YORK,NY,10036,10/01/2019,09/30/2021,"RESTAURANT SERVING WINE, BEER AND CIDER.     ",,"Recorded music, no dancing",POINT(-73.980313 40.755991),"17 W 45TH ST, NEW YORK, NY 10036",40.755991,-73.980313
